,City,Response Code,Exec Time(s),Longitude,Latitude,Weather,Temperature (F),Cloudiness (%),Wind Speed (mph),Humidity (%)
304,leh,200,0.15164804458618164,77.5833,34.1667,Clouds,36.99,38,1.63,48
305,kaitangata,200,0.0726919174194336,169.8464,-46.2817,Clear,59,10,4.0,56
306,tabou,200,0.2875230312347412,-7.3528,4.423,Clouds,80.38,100,7.76,82
307,ajaccio,200,0.4973278045654297,8.9167,42.0,Clouds,57.2,90,12.66,82
308,ullapool,200,0.34595608711242676,-5.1604,57.8987,Clouds,37,45,1.01,65
309,mecca,200,0.06999492645263672,39.8261,21.4267,Clouds,83.95,96,2.91,47
310,zharkent,200,0.32905125617980957,80.0,44.1628,Clouds,53.1,100,4.76,48
311,maumere,200,0.3831908702850342,122.2111,-8.6199,Clouds,79.21,98,3.96,76
312,saint-georges,200,0.07125592231750488,-61.7485,12.0564,Clouds,80.6,20,12.66,78
313,yerbogachen,200,0.27406883239746094,108.0108,61.2767,Clouds,33.67,49,3.91,88
314,nemuro,200,0.27667975425720215,145.575,43.3236,Rain,36.95,100,13.91,89
315,ilo,200,0.37698936462402344,-71.3375,-17.6394,Clouds,66.22,76,7.94,85
316,charleville-mezieres,200,0.28586888313293457,4.7167,49.7667,Clouds,42.01,96,5.75,87
317,belmonte,200,0.07473397254943848,-38.8828,-15.8631,Mist,71.6,75,3.44,88
318,san juan del sur,200,0.5103821754455566,-85.8705,11.2529,Clouds,86,75,4.61,58
319,shizunai,200,0.3556969165802002,142.3669,42.3339,Clouds,43.81,100,5.28,73
320,anloga,200,0.09738993644714355,0.8973,5.7947,Clouds,84.2,20,11.5,84
321,shingu,200,0.07222723960876465,135.9833,33.7333,Clouds,59,75,13.8,55
322,whitehorse,200,0.3155210018157959,-135.0538,60.7161,Clouds,43.99,90,6.91,45
323,ardakan,200,0.28853917121887207,54.0175,32.31,Clear,69.8,0,11.5,40
324,el alto,200,0.2990858554840088,-81.2147,-4.2714,Clouds,73.4,40,14.97,78
325,lac du bonnet,200,0.33317089080810547,-96.0612,50.2536,Clear,62.67,8,10.74,44
326,mehamn,200,0.07809901237487793,27.8492,71.0357,Snow,31.39,100,17.25,81
327,lompoc,200,0.0810549259185791,-120.4579,34.6391,Clouds,61.45,90,19.57,77
328,kawana waters,404,0.09607481956481934,,,,,,,77
329,pangnirtung,200,0.16150498390197754,-65.7125,66.1451,Clouds,38.19,84,5.84,73
330,west fargo,200,0.27176499366760254,-96.9004,46.875,Clear,83.5,1,18.41,18
331,coquimbo,200,0.2924211025238037,-71.3436,-29.9533,Clear,57.2,0,4.61,94
332,kloulklubed,200,0.09282732009887695,134.2556,7.0419,Rain,80.6,90,6.91,89
333,sambava,200,0.2759082317352295,50.1667,-14.2667,Clouds,75.04,18,5.79,91
334,aksu,200,0.08575105667114258,80.2644,41.1231,Clouds,68.02,84,1.66,25
335,otjiwarongo,200,0.2730550765991211,16.6477,-20.4637,Clouds,61.36,52,10.45,68
336,prince rupert,200,0.2929809093475342,-130.3201,54.3161,Rain,48.34,90,4.61,76
337,vila velha,200,0.07303905487060547,-40.2925,-20.3297,Mist,69.91,90,9.22,94
338,labutta,404,0.07660603523254395,,,,,,,94
339,luanda,200,0.29857516288757324,13.2343,-8.8368,Clouds,78.8,20,4.61,89
340,ketchikan,200,0.07347416877746582,-131.6461,55.3422,Rain,48.2,90,8.05,93
341,bratslav,200,0.44489288330078125,28.9407,48.8226,Clouds,53.01,97,7.94,90
342,medicine hat,200,0.08708500862121582,-110.6683,50.0501,Clouds,66.33,75,18.41,26
343,rawson,200,0.0695350170135498,-65.1023,-43.3002,Clouds,62.06,100,11.14,52
344,batagay-alyta,200,0.07269501686096191,130.4114,67.8006,Clouds,24.46,100,2.71,86
345,concordia,200,0.37532901763916016,-58.0209,-31.393,Clear,69.91,0,3.44,64
346,tiksi,200,0.07131290435791016,128.8694,71.6872,Clouds,22.6,100,3.53,98
347,satitoa,404,0.07370805740356445,,,,,,,98
348,cap malheureux,200,0.5116391181945801,57.6142,-19.9842,Clouds,75,12,3.0,89
349,dinguiraye,200,0.3715031147003174,-10.7167,11.3,Clouds,83.53,75,1.74,49
350,knysna,200,0.36881113052368164,23.0471,-34.0363,Clear,48.2,0,4.61,93
351,isangel,200,0.0874321460723877,169.2667,-19.55,Clouds,75.2,90,9.22,94
352,anadyr,200,0.28450489044189453,177.4833,64.75,Clouds,14,20,11.18,79
353,port keats,200,0.2745950222015381,129.55,-14.25,Clear,76.96,0,8.23,58
354,odessa,200,0.3584780693054199,30.7326,46.4775,Clear,53.31,0,6.71,100
355,casimiro castillo,200,0.38558411598205566,-104.4333,19.6,Clear,80.6,1,17.27,78
356,pontian kecil,200,0.29434895515441895,103.3899,1.4801,Clouds,77.32,20,2.3,94
357,iisalmi,200,0.3420529365539551,27.1907,63.5592,Clear,30.2,0,6.91,47
358,coihueco,200,0.27568483352661133,-71.8333,-36.6167,Clouds,54.28,100,12.66,100
359,laguna,200,0.40410709381103516,-121.4238,38.421,Clear,81.54,1,16.11,36
360,labuhan,200,0.32332611083984375,112.2051,-6.8844,Clouds,78.33,100,7.9,87
361,tarakan,200,0.28163814544677734,117.6333,3.3,Clouds,77,20,5.26,94
362,barcelos,200,0.3579871654510498,-8.6151,41.5388,Clear,49.33,0,3.44,76
363,otradnoye,200,0.10312390327453613,30.8181,59.7775,Rain,36.45,0,2.24,70
364,burpengary,200,0.266848087310791,152.9576,-27.1575,Clouds,68.07,60,3.0,3
365,rio gallegos,200,0.08823013305664062,-69.2181,-51.6226,Clouds,42.8,40,4.61,87
366,tyler,200,0.0757148265838623,-95.3011,32.3513,Clouds,68.76,90,4.61,78
367,jatiroto,200,0.27313995361328125,111.1167,-7.8833,Clouds,73.36,53,1.57,91
368,puerto carreno,200,0.2765052318572998,-67.4859,6.189,Clouds,81.9,100,3.6,73
369,caconda,200,0.2847306728363037,15.0667,-13.7333,Rain,59.58,100,0.74,92
370,yar-sale,200,0.08426380157470703,70.8333,66.8333,Snow,27.28,100,20.11,95
371,komsomolskiy,200,0.07125020027160645,71.7189,40.4272,Clouds,60.8,31,6.91,82
372,broome,200,0.07671236991882324,-75.833,42.2506,Clear,55.4,1,8.05,24
373,ucluelet,200,0.15539288520812988,-125.5528,48.9329,Clouds,53.6,20,17.27,62
374,mrakovo,200,0.3374009132385254,56.6244,52.7161,Clouds,48.63,100,6.73,64
375,khorramshahr,200,0.5638518333435059,48.1664,30.4397,Clear,86,0,11.5,30
376,encruzilhada do sul,200,0.7378349304199219,-52.5219,-30.5439,Clear,60.08,0,2.51,59
377,ust-nera,200,0.24500513076782227,143.2,64.5667,Clouds,35.37,100,2.21,93
378,riverton,200,0.9171509742736816,-111.9391,40.5219,Clear,75.29,1,13.8,35
379,zyryanka,200,0.5582327842712402,150.85,65.75,Clouds,30.65,96,3.27,88
380,vostok,200,0.4671812057495117,135.8833,46.4856,Clouds,38.75,75,6.13,63
381,mallapuram,200,0.3865339756011963,78.25,11.9667,Clouds,76.08,18,1.88,85
382,halalo,404,0.24520492553710938,,,,,,,85
383,szob,200,0.7817389965057373,18.8702,47.8192,Clouds,62.29,91,1.01,97
384,port lincoln,200,0.24409914016723633,135.8667,-34.7333,Clouds,60.85,100,11.56,74
385,rolla,200,0.7849619388580322,-91.7713,37.9514,Clear,76.28,1,11.5,35
386,general pico,200,0.5150048732757568,-63.7568,-35.6566,Clouds,60.6,56,6.38,64
387,karaul,404,0.5895528793334961,,,,,,,64
388,gaeta,200,0.43871116638183594,13.5628,41.2183,Clouds,61.97,99,1.01,93
389,eydhafushi,200,0.2769479751586914,73.0708,5.1033,Clouds,83.03,19,4.79,73
390,pinheiro machado,200,0.3983728885650635,-53.3811,-31.5783,Clear,63,0,5.99,73
391,narayangarh,200,0.3444540500640869,77.1333,30.4833,Clouds,79.66,100,4.43,34
392,vila praia de ancora,200,0.26964306831359863,-8.8526,41.811,Clear,47.7,0,8.05,62
393,krasnovishersk,200,0.3383028507232666,57.082,60.4078,Clouds,38.23,98,4.09,87
394,reinosa,200,0.4103419780731201,-4.138,42.9996,Clouds,47.98,95,2.42,99
395,kutum,200,0.0721430778503418,24.6667,14.2,Clouds,77.76,69,10.25,16
396,westport,200,0.07364296913146973,-73.3579,41.1415,Clouds,59.58,24,7.81,34
397,gondar,200,0.28699779510498047,37.4667,12.6,Rain,61.88,100,1.59,67
398,saleaula,404,0.07291483879089355,,,,,,,67
399,serra talhada,200,0.49080967903137207,-38.2983,-7.9919,Clouds,70.92,93,11.7,88
400,saquena,200,0.3837728500366211,-73.5167,-4.6667,Clouds,73.06,79,4.03,97
401,padang,200,0.09781694412231445,100.3543,-0.9492,Clouds,77,40,2.3,94
402,taywarah,200,0.2730140686035156,64.4167,33.35,Clouds,45.39,100,4.74,76
403,panaba,200,0.5002670288085938,-88.2667,21.2833,Clear,93.38,10,11.63,35
404,salinopolis,200,0.1411888599395752,-47.3561,-0.6136,Clouds,78.26,31,5.3,82
405,hervey bay,200,0.294766902923584,152.8535,-25.2986,Clouds,73.27,75,12.66,83
406,conceicao do mato dentro,200,0.3416872024536133,-43.425,-19.0372,Clouds,61.03,99,2.24,81
407,shwebo,200,0.2826530933380127,95.7,22.5667,Clear,78.42,1,2.64,72
408,parakai,200,0.365217924118042,174.4333,-36.65,Clear,58.68,0,5.01,79
409,dikson,200,0.07396602630615234,80.5464,73.5069,Clouds,20.64,100,7.36,93
410,sola,200,0.2842259407043457,167.55,-13.8833,Rain,78.12,95,11.72,83
411,inta,200,0.298001766204834,60.1659,66.0317,Clouds,35.17,99,16.73,83
412,tongling,200,0.396651029586792,117.7833,30.95,Clear,60.15,2,13.2,78
413,kitui,200,0.32476377487182617,38.0106,-1.367,Rain,63.46,43,4.29,96
414,pervomayskiy,200,0.27945590019226074,40.2871,53.2485,Rain,46,95,2.93,66
415,maloy,200,0.37750887870788574,5.1136,61.9353,Clouds,41,12,5.75,70
416,skibbereen,200,0.36319589614868164,-9.2667,51.55,Clouds,44.6,75,4.61,81
417,poum,200,0.10553908348083496,164.0167,-20.2333,Clouds,77.09,90,7.63,72
418,kailua,200,0.2826881408691406,-157.7394,21.4022,Clouds,79.77,40,17.27,51
419,gat,200,0.07860302925109863,34.7642,31.61,Clear,65.37,0,4.61,55
420,masunga,200,0.41243791580200195,27.4488,-20.6246,Clouds,57.52,12,16.93,86
421,vao,200,0.07964301109313965,167.4833,-22.6667,Clouds,74.57,100,26.22,68
422,taquaritinga do norte,200,0.31685709953308105,-36.0442,-7.9031,Clouds,65.23,84,5.01,92
423,zabaykalsk,200,0.2774162292480469,117.3167,49.6333,Rain,46.18,100,13.47,38
424,makakilo city,200,0.08104777336120605,-158.0858,21.3469,Clouds,81.55,75,17.27,54
425,eirunepe,200,0.5061039924621582,-69.8736,-6.6603,Clouds,72.52,51,3.85,98
426,beeville,200,0.3442227840423584,-97.7483,28.4008,Clouds,77,75,6.91,83
427,kangasala,200,0.4076061248779297,24.076,61.4638,Clear,27.21,0,5.57,86
428,abu kamal,200,0.3834531307220459,40.9171,34.4506,Clear,76.12,0,17.74,24
429,urumqi,200,0.29424309730529785,87.6005,43.801,Dust,51.8,86,6.71,58
430,port antonio,200,0.34237122535705566,-76.4612,18.18,Clouds,80.38,40,13.8,74
431,flin flon,200,0.2736389636993408,-101.865,54.7682,Clouds,48.2,40,9.22,57
432,port-gentil,200,0.18760085105895996,8.7815,-0.7193,Clouds,82.4,40,2.3,83
433,camacha,200,0.09690332412719727,-16.3333,33.0833,Clouds,60.8,20,5.75,63
434,roebourne,200,0.44821619987487793,117.1333,-20.7833,Rain,78.69,3,4.79,56
435,moindou,200,0.29415178298950195,165.677,-21.6924,Clouds,77,75,10.36,69
436,cayeli,200,0.21323323249816895,40.7292,41.0923,Clear,59.76,6,4.85,62
437,gardan diwal,404,0.07951211929321289,,,,,,,62
438,buqayq,404,0.07363700866699219,,,,,,,62
439,kulhudhuffushi,200,0.3445899486541748,73.07,6.6221,Clouds,83.79,56,5.5,72
440,eldorado,200,0.2778658866882324,-54.2836,-23.7869,Clouds,69.89,33,4.56,52
441,estreito,200,0.3554699420928955,-43.25,-5.7833,Clouds,74.14,59,2.89,72
442,aleysk,200,0.3778543472290039,82.7822,52.4926,Clear,35.06,8,7.58,82
443,fortuna,200,0.09202694892883301,-124.1573,40.5982,Clouds,55.22,90,17.27,82
444,sistranda,200,0.07813119888305664,8.834,63.7256,Clouds,32,20,3.44,86
445,sumenep,200,0.28840017318725586,113.8667,-7.0167,Clouds,80.4,91,8.39,82
446,auki,200,0.07488298416137695,160.7034,-8.7676,Clouds,82.98,91,2.77,71
447,hambantota,200,0.07344317436218262,81.1185,6.1241,Clouds,79.43,95,1.81,81
448,rawannawi,404,0.07228803634643555,,,,,,,81
449,yamada,200,0.2938051223754883,141.95,39.4667,Clouds,47.93,100,6.89,91
450,muroto,200,0.27404284477233887,134.15,33.2833,Clouds,55.4,75,10.36,58
451,saint anthony,200,0.16799592971801758,-93.218,45.0205,Clouds,85.51,20,17.27,17
452,banjar,200,0.2754189968109131,114.9675,-8.19,Clouds,77,20,3.44,94
453,shahpura,200,0.2920260429382324,75.9667,27.3833,Haze,84.2,40,4.18,30
454,karratha,200,0.09531879425048828,116.8463,-20.7377,Clear,78.82,3,4.52,59
455,falmouth,200,0.10691571235656738,-5.0711,50.1544,Clouds,42.8,75,6.11,75
456,guantanamo,200,0.2672851085662842,-75.2092,20.1444,Clouds,83.21,75,5.75,69
457,haines junction,200,0.6890101432800293,-137.5108,60.7522,Clouds,48.2,97,6.91,37
458,lee,200,0.2966008186340332,-81.8831,26.567,Clear,82.69,1,10.36,65
459,jambi,200,0.31110572814941406,103.6167,-1.6,Clouds,72.16,87,1.99,98
460,marsh harbour,200,0.5030968189239502,-77.0636,26.5412,Clouds,79.18,100,4.41,73
461,sorvag,404,0.18221402168273926,,,,,,,73
462,hudson bay,200,0.27397680282592773,-102.3842,52.85,Clouds,59.61,99,7.38,44
463,alta floresta,200,0.07647514343261719,-56.0861,-9.8756,Clouds,72.9,97,2.95,93
464,salvador,200,0.4928927421569824,-88.9167,13.8333,Clouds,80.17,40,8.05,74
465,soyo,200,0.3558330535888672,12.3689,-6.1349,Clouds,77.7,97,3.94,83
466,erzin,200,0.06846809387207031,36.2,36.9559,Clouds,66.99,40,1.1,87
467,tukuyu,200,0.3282601833343506,33.65,-9.25,Clouds,62.04,93,0.45,96
468,guerrero negro,200,0.07259702682495117,-114.0611,27.9769,Clouds,69.87,66,21.07,59
469,bonavista,200,0.30123186111450195,-53.1147,48.6499,Clouds,39.9,72,10.36,87
470,laibin,200,0.293565034866333,109.2667,23.7,Clouds,76.1,100,3.51,82
471,gwadar,200,0.3432650566101074,62.3254,25.1216,Clear,81.59,3,6.46,75
472,kokkola,200,0.27049684524536133,23.1307,63.8385,Clear,31.84,0,4.61,69
473,abu zabad,200,0.15097880363464355,29.25,12.35,Clouds,87.55,77,4.05,29
474,pietra ligure,200,0.276029109954834,8.2821,44.1492,Clouds,56.05,91,6.55,93
475,kotelnikovo,200,0.3111133575439453,43.1461,47.6317,Clear,55.11,6,6.64,89
476,kuytun,200,0.07627582550048828,101.5036,54.3419,Clouds,39.4,100,7.92,78
477,batsfjord,200,0.2974362373352051,29.7185,70.6345,Snow,31.1,98,11.5,87
478,jacareacanga,200,0.3096151351928711,-57.7528,-6.2222,Clouds,74.14,63,1.32,96
479,ostersund,200,0.34052085876464844,14.6357,63.1792,Clouds,30.09,50,8.05,80
480,tidore,404,0.07731914520263672,,,,,,,80
481,andenes,200,0.2788240909576416,16.1194,69.3143,Clouds,30.2,75,8.05,100
482,changli,200,0.2923159599304199,119.1506,39.7042,Clouds,51.26,11,6.11,35
483,honolulu,200,0.2747318744659424,-157.8583,21.3069,Clouds,79.99,40,17.27,51
484,cam ranh,200,0.2797870635986328,109.1591,11.9214,Clouds,77,20,5.75,78
485,gravdal,200,0.3570277690887451,13.5031,68.1214,Snow,34.61,100,8.81,65
486,utete,200,0.3821830749511719,38.758,-7.986,Clouds,72.12,68,1.77,95
487,bershet,200,0.41616201400756836,56.3783,57.7309,Rain,48.2,75,4.47,100
488,inderborskiy,404,0.07968497276306152,,,,,,,100
489,lianran,200,0.27296900749206543,102.485,24.9227,Clouds,53.6,75,1.88,100
490,tabas,200,0.2687511444091797,56.9244,33.5959,Clouds,73.4,100,4.54,46
491,lipari,200,0.3484349250793457,14.954,38.4674,Clouds,68.27,100,4.0,67
492,tsihombe,404,0.07271122932434082,,,,,,,67
493,sabang,200,0.07143497467041016,95.3214,5.8933,Rain,83.66,51,11.97,74
494,chulakivka,200,0.4800140857696533,32.3514,46.3576,Clouds,53.01,80,8.52,100
495,filingue,200,0.3749849796295166,3.3168,14.3521,Clear,89.22,0,3.36,9
496,tonstad,200,0.2762119770050049,6.7169,58.6626,Clear,32.41,5,5.79,87
497,palana,200,0.35744786262512207,159.9667,59.1167,Clouds,30.36,57,5.28,77
498,cabo san lucas,200,0.11505484580993652,-109.9124,22.8909,Clear,78.8,1,6.91,47
499,mollendo,200,0.28219079971313477,-72.0147,-17.0231,Clouds,66.27,97,8.46,86
500,evensk,200,0.0682821273803711,159.2333,61.95,Clear,29.12,5,4.63,73
501,simplicio mendes,200,0.28861093521118164,-41.9103,-7.8539,Clouds,78.78,53,8.14,56
502,quelimane,200,0.4694540500640869,36.8883,-17.8786,Rain,75.09,75,8.05,94
503,hasaki,200,0.17371511459350586,140.8333,35.7333,Clouds,65.03,20,5.75,59
504,ust-koksa,200,0.33466172218322754,85.6108,50.2696,Clouds,22.64,47,0.76,82
505,abalak,200,0.49738383293151855,68.5944,58.1286,Clouds,49.46,100,12.21,47
506,lamu,200,0.14746785163879395,40.902,-2.2717,Clouds,80.8,13,11.1,81
507,lasa,200,0.09223079681396484,10.7002,46.6166,Mist,47.39,75,5.75,100
508,luderitz,200,0.2817351818084717,15.1594,-26.6481,Clear,76.51,0,17.87,25
509,san cristobal,200,0.5057210922241211,-72.225,7.7669,Clouds,77,75,3.44,94
510,stepnyak,200,0.36218690872192383,70.7803,52.8339,Clouds,40.77,16,10.0,51
511,minab,200,0.09026885032653809,57.0801,27.1467,Clouds,77,40,4.61,73
512,at-bashi,200,0.30223894119262695,75.8106,41.1702,Clouds,49.1,100,1.66,76
513,shenjiamen,200,0.2676219940185547,122.298,29.9576,Clouds,60.57,15,1.54,81
514,kerrville,200,0.14787793159484863,-99.1403,30.0474,Clouds,63.84,90,5.75,88
515,fairmont,200,0.2736167907714844,-80.1426,39.4851,Clear,62.35,1,11.5,24
516,tonj,200,0.07091999053955078,28.6822,7.2737,Clouds,76.48,81,6.64,70
517,baisha,200,0.5317018032073975,110.9311,26.5222,Clouds,72.95,100,2.08,82
518,quime,200,0.16103720664978027,-67.2167,-16.9833,Clouds,48.96,33,1.68,87
519,barra do garcas,200,0.27112507820129395,-52.2567,-15.89,Clouds,74.35,61,2.53,72
520,moron,200,0.2839999198913574,-58.6198,-34.6534,Clear,67.95,0,4.21,64
521,pacific grove,200,0.10066103935241699,-121.9166,36.6177,Clouds,56.57,75,16.11,67
522,mafra,200,0.2874581813812256,-49.8053,-26.1114,Clouds,55.99,89,1.01,96
523,morondava,200,0.09074091911315918,44.2833,-20.2833,Clouds,76.78,100,10.25,81
524,hofn,200,0.07085418701171875,-15.2082,64.2539,Clouds,36.63,100,14.67,67
525,koygorodok,200,0.43872523307800293,50.9968,60.445,Clouds,32.07,34,6.22,88
526,mergui,404,0.1042020320892334,,,,,,,88
527,polyarnyy,200,0.2747220993041992,33.4478,69.1989,Clear,15.8,0,2.24,79
528,bundaberg,200,0.07549905776977539,152.35,-24.85,Clouds,72.52,75,12.66,83
529,pringsewu,200,0.6403777599334717,104.9744,-5.3582,Clouds,73.63,99,0.65,96
530,haradok,200,0.29138994216918945,29.9816,55.4624,Clouds,37.08,65,3.87,67
531,college,200,0.07457304000854492,-147.8028,64.8569,Clouds,39.63,40,4.61,45
532,conceicao do araguaia,200,0.301105260848999,-49.2647,-8.2578,Rain,78.8,0,4.61,89
533,bokspits,404,0.29456067085266113,,,,,,,89
534,ishigaki,200,0.10248684883117676,124.1572,24.3448,Clouds,71.6,40,1.14,100
535,udimskiy,200,0.2840230464935303,45.9144,61.1417,Clear,27.75,4,8.03,66
536,plouzane,200,0.3080599308013916,-4.6167,48.3833,Clear,40.3,0,3.44,75
537,sarkand,200,0.5132880210876465,79.9186,45.41,Clouds,42.55,81,6.49,62
538,cetraro,200,0.27224230766296387,15.9416,39.5166,Clouds,70,98,1.99,64
539,kenai,200,0.3326871395111084,-151.2583,60.5544,Clear,49.66,1,3.44,37
540,qianan,200,0.16083288192749023,124.0581,44.9932,Clear,52,6,4.05,57
541,coulihaut,404,0.07570791244506836,,,,,,,57
542,adrar,200,0.07175517082214355,-10.0711,20.5022,Clouds,84.61,36,4.85,30
543,champerico,200,0.07276320457458496,-91.9167,14.3,Clouds,74.39,75,6.91,83
544,madison,200,0.0710749626159668,-86.5667,34.7334,Clear,74.57,1,3.58,24
545,charters towers,200,0.3179209232330322,146.2667,-20.1,Clear,70.7,0,10.07,68
546,belaya gora,200,0.31003904342651367,146.4167,68.5333,Clouds,26.58,100,7.18,83
547,timaru,200,0.2862851619720459,171.25,-44.4,Clear,57.99,0,2.48,41
548,uspenka,200,0.3478579521179199,39.1619,48.3903,Clouds,60.48,100,1.57,75
549,roald,200,0.07975316047668457,6.1333,62.5833,Clouds,36.63,44,13.8,81
550,chimore,200,0.10195612907409668,-65.1333,-16.9833,Clouds,72.54,18,1.01,77
551,zakupne,200,0.30292320251464844,26.3376,49.1194,Clouds,59,92,4.61,76
552,ondorhaan,404,0.07507896423339844,,,,,,,76
553,mount gambier,200,0.08121609687805176,140.7667,-37.8333,Clouds,59,71,10.36,77
554,itarema,200,0.07096409797668457,-39.9167,-2.9248,Clouds,77.18,99,4.79,84
555,rocha,200,0.2716069221496582,-54.3333,-34.4833,Clear,59.92,1,5.39,90
556,noumea,200,0.07854008674621582,166.4572,-22.2763,Clouds,77,75,10.36,69
557,elbrus,200,0.2880990505218506,42.6443,43.2577,Clouds,40.12,85,3.96,95
558,asha,200,0.30349183082580566,57.2722,54.9973,Rain,53.74,100,10.96,56
559,neiafu,200,0.07754921913146973,-173.9833,-18.65,Clouds,80.6,40,10.36,83
560,kampot,200,0.4779360294342041,104.1833,10.6167,Clouds,82.4,20,2.3,89
561,maceio,200,0.14592313766479492,-35.7353,-9.6658,Mist,78.8,75,4.61,83
562,bucerias,200,0.29093003273010254,-105.3333,20.75,Clear,80.6,1,14.97,69
563,fiumicino,200,0.07749485969543457,12.2291,41.7675,Clouds,60.37,20,3.44,94
564,weligama,200,0.7842109203338623,80.4167,5.9667,Clouds,77.32,95,2.04,88
565,logrono,200,0.2852640151977539,-2.45,42.4667,Clouds,44.64,20,2.3,81
566,karpathos,200,0.48409605026245117,27.2132,35.507,Clouds,68,45,5.75,64
567,morant bay,200,0.15310287475585938,-76.4093,17.8815,Clouds,80.26,40,13.8,74
568,san andres,200,0.07135915756225586,-81.7006,12.5847,Clouds,84.2,20,9.22,65
569,udachnyy,200,0.0710909366607666,112.4,66.4167,Snow,32.65,100,7.63,99
570,diamantino,200,0.09680604934692383,-56.4461,-14.4086,Clouds,76.87,93,4.68,76
571,vestmanna,200,0.07130599021911621,-7.1664,62.1564,Clouds,35.6,75,2.3,87
572,seoul,200,0.29135823249816895,126.9778,37.5683,Clouds,47.55,40,4.61,87
573,kandrian,200,0.3464381694793701,149.55,-6.2167,Clouds,83.17,46,5.5,73
574,santona,200,0.30330896377563477,-3.4576,43.4439,Clear,47.5,0,6.91,87
575,ambon,200,0.33212995529174805,128.1814,-3.6954,Clouds,77,40,8.05,94
576,halmstad,200,0.2801809310913086,12.8568,56.6745,Clouds,39.67,70,3.44,61
577,easley,200,0.38104701042175293,-82.6015,34.8298,Clear,72.46,1,4.61,31
578,abnub,200,0.0717470645904541,31.1511,27.2696,Clear,80.6,0,12.66,22
579,kalmunai,200,0.2756538391113281,81.8167,7.4167,Clouds,79.21,100,6.11,84
580,muros,200,0.3834259510040283,-9.0603,42.7762,Clouds,43.5,21,1.01,79
581,havoysund,200,0.27122998237609863,24.6622,70.9963,Snow,26.6,83,7.27,80
582,great yarmouth,200,0.07213187217712402,1.7305,52.6083,Clouds,37.78,11,4.61,93
583,morada nova,200,0.29088306427001953,-38.3725,-5.1067,Clouds,75.49,43,5.41,76
584,kolpashevo,200,0.07484197616577148,82.9089,58.3131,Clouds,35.78,100,10.63,83
585,bayevo,200,0.28702592849731445,80.7667,53.2833,Clear,35.19,1,6.85,85
586,kabanjahe,200,0.29631829261779785,98.4908,3.1001,Clouds,75.2,40,3.44,94
587,monrovia,200,0.08827805519104004,-10.7969,6.3005,Clouds,78.8,40,12.35,94
588,port hedland,200,0.48261594772338867,118.5667,-20.3167,Clouds,71.6,90,4.61,100
589,puerto baquerizo moreno,200,0.29686498641967773,-89.6,-0.9,Clouds,82.4,20,14.97,74
590,leszno,200,0.48837924003601074,16.5749,51.8403,Clouds,46,100,3.0,94
591,talcahuano,200,0.07080507278442383,-73.1167,-36.7167,Rain,55.4,90,4.61,94
592,marrakesh,200,0.08837485313415527,-8.0083,31.6315,Clouds,59,85,10.36,58
593,bud,200,0.10439825057983398,-86.1758,39.447,Clear,72.81,1,10.36,35
594,bezopasnoye,200,0.36038684844970703,41.936,45.6483,Clear,57.09,0,4.47,72
595,margate,200,0.07195305824279785,1.3862,51.3813,Clouds,45.16,34,3.0,73
596,palaikastron,200,0.29529500007629395,26.25,35.2,Clouds,74.32,17,2.89,33
597,amberley,200,0.08746075630187988,-84.428,39.2048,Clear,70.93,1,16.11,35
598,dekar,200,0.28378987312316895,21.9333,-21.5333,Clear,59.36,0,7.92,28
599,esso,200,0.2967259883880615,158.7,55.9333,Clouds,34.88,100,5.48,98
600,condado,200,0.2685670852661133,-79.8403,21.8767,Rain,83.57,99,5.75,74
601,nelson bay,200,0.5099260807037354,152.15,-32.7167,Clouds,68.27,74,4.61,82
602,brigantine,200,0.2741529941558838,-74.3646,39.4101,Clear,63.48,1,10.36,19
603,hokitika,200,0.2810399532318115,170.9667,-42.7167,Clouds,55.62,31,1.68,69
604,nioro,200,0.49059605598449707,-15.75,13.35,Clear,81.82,4,13.27,32
